#Run,StartTime,StopTime,Delivered,Recorded
160431,2011-03-14 04:12:25.868363,2011-03-14 05:41:51.956043,8466.3057405,7564.26983656
160432,2011-03-14 05:42:38.534380,2011-03-14 06:12:35.007212,2655.09051794,2114.65144712
160433,2011-03-14 06:13:53.321685,2011-03-14 06:20:53.276373,415.964575734,336.50942987
160442,2011-03-14 09:50:17.115649,2011-03-14 09:49:53.784833,2146.93952184,1553.31960915
160443,2011-03-14 10:00:58.002319,2011-03-14 10:08:44.618639,887.645365501,590.94786864
160444,2011-03-14 10:09:34.072145,2011-03-14 10:37:33.890897,3025.72827741,2677.30442164
160445,2011-03-14 10:38:37.667043,2011-03-14 10:52:14.245603,1459.55034781,1050.25670274
160446,2011-03-14 10:53:25.880728,2011-03-14 11:14:25.744792,2189.60535947,1752.09820343
160447,2011-03-14 11:15:12.480542,2011-03-14 11:39:42.321950,2477.87227725,1859.46384649
160449,2011-03-14 11:40:38.024670,2011-03-14 11:56:57.918942,1637.8544237,1165.74148797
160450,2011-03-14 11:58:02.418697,2011-03-14 12:15:32.305417,1717.61322132,824.293174077
160452,2011-03-14 12:16:35.386431,2011-03-14 12:31:21.957439,1429.03152583,0.000553664725053
160454,2011-03-14 12:32:27.706844,2011-03-14 12:47:37.608668,1520.52623191,1168.25895412
160455,2011-03-14 12:48:40.303320,2011-03-14 13:00:43.558616,1202.38345094,254.404852735
160456,2011-03-14 13:01:43.018970,2011-03-14 13:42:09.423834,3843.55427166,482.940846442
160466,2011-03-14 14:46:50.510117,2011-03-14 14:54:37.126437,730.565388567,416.794274174
160467,2011-03-14 14:55:57.901833,2011-03-14 14:57:07.894281,138.278253622,138.013898796
160497,2011-03-15 00:46:40.809129,2011-03-15 03:20:39.812265,13397.7462896,11556.667501
160498,2011-03-15 03:21:25.122644,2011-03-15 03:48:14.948948,2421.31943956,1463.88257351
160499,2011-03-15 03:49:27.830416,2011-03-15 03:54:31.131024,361.966584568,361.81731726
160577,2011-03-16 01:05:52.248122,2011-03-16 03:16:54.733114,11025.7990825,8654.25258859
160578,2011-03-16 03:17:45.410285,2011-03-16 06:15:04.262381,13676.58239,11981.6713248
160579,2011-03-16 06:16:13.570295,2011-03-16 07:31:16.417783,5312.95840481,4967.0452382
160808,2011-03-18 14:10:47.522134,2011-03-18 14:41:07.325782,57926.393148,39516.2960792
160815,2011-03-18 14:42:09.479879,2011-03-18 15:18:19.245767,68985.8739682,54220.8067209
160819,2011-03-18 15:19:19.823601,2011-03-18 16:04:26.198257,82912.666823,71470.4575194
160827,2011-03-18 16:05:38.005864,2011-03-18 16:26:14.539112,37247.5482529,23749.486402
160835,2011-03-18 16:47:21.915855,2011-03-18 20:05:17.301199,309207.15069,299155.885531
160853,2011-03-18 22:36:25.982608,2011-03-18 22:36:02.651792,10021.8635306,9921.99726594
160871,2011-03-19 03:37:17.927435,2011-03-19 04:48:50.797579,143117.480408,117817.018757
160872,2011-03-19 04:49:38.427719,2011-03-19 05:18:48.238919,56560.3571002,23976.868316
160873,2011-03-19 05:19:57.360130,2011-03-19 06:37:20.192514,141362.048691,120912.390958
160874,2011-03-19 06:38:26.353630,2011-03-19 07:28:59.359710,87190.8782593,42569.6465042
160875,2011-03-19 07:30:04.464502,2011-03-19 09:20:07.085430,176885.22984,170965.366256
160876,2011-03-19 09:21:08.262052,2011-03-19 09:26:58.224292,9509.25985402,4902.42155338
160877,2011-03-19 09:28:19.340493,2011-03-19 09:37:15.949261,13768.5262823,12953.0959015
160888,2011-03-19 12:06:03.706204,2011-03-19 14:49:45.979740,602090.030147,576227.566395
160890,2011-03-19 14:54:49.150453,2011-03-19 17:27:38.161141,529993.2494,515420.978849
160894,2011-03-19 17:28:32.502942,2011-03-19 18:58:21.921438,279767.840837,242264.392635
160907,2011-03-19 21:44:10.655982,2011-03-19 23:08:56.773870,342044.510117,193748.859985
160911,2011-03-19 23:09:54.165375,2011-03-20 01:03:50.094463,419994.277422,396816.440222
160913,2011-03-20 01:07:42.235515,2011-03-20 01:17:02.175099,33615.0852687,19117.1198423
160914,2011-03-20 01:17:57.488077,2011-03-20 01:46:20.637645,97752.1620236,83247.092345
160915,2011-03-20 01:47:22.395012,2011-03-20 04:15:08.105092,467125.027611,432166.276618
160916,2011-03-20 04:16:35.024948,2011-03-20 04:50:24.805940,96640.9552322,95376.7159157
160935,2011-03-20 10:31:18.380660,2011-03-20 12:11:37.731188,363643.010385,320455.170628
160936,2011-03-20 12:12:20.435846,2011-03-20 12:34:53.623174,85826.2148113,31337.7420202
160937,2011-03-20 12:35:53.378852,2011-03-20 13:56:46.188580,288653.467861,257660.068434
